COUNTY_CODE,DISTRICT_CODE,SCHOOL_CODE,COUNTY_NAME,DISTRICT_NAME,SCHOOL_NAME,SUBJECT,TESTED,Mean,Level1,Level2,Level3,Level4,Level5,MET_EXCEED
3,3760,80,BERGEN    ,OAKLAND BORO,VALLEY MIDDLE            ,Math,393,747,3.7,16.3,31.7,45,3.7,48.3
3,3850,30,BERGEN    ,OLD TAPPAN BORO,CHARLES DEWOLF           ,ELA,344,769.5,0.8,4,20,54,21.2,75.2
3,3850,30,BERGEN    ,OLD TAPPAN BORO,CHARLES DEWOLF           ,Math,297,754,1.5,10,31,51.5,6,57.5
3,3850,60,BERGEN    ,OLD TAPPAN BORO,T. BALDWIN DEMAREST E.S. ,ELA,127,770,2.5,5.5,17,57,18.5,75.5
3,3850,60,BERGEN    ,OLD TAPPAN BORO,T. BALDWIN DEMAREST E.S. ,Math,127,764,0,3.5,22.5,61,13.5,74.5
3,3910,50,BERGEN    ,PALISADES PARK,PALISADES PARK JR-SR HIGH,ELA,403,749,14,11,25,34.5,16,50.2
3,3910,50,BERGEN    ,PALISADES PARK,PALISADES PARK JR-SR HIGH,Math,60,730,20,22,32,23,3,27
3,3910,70,BERGEN    ,PALISADES PARK,LINDBERGH                ,ELA,536,751.6,6.8,13.8,27,41.8,10.8,52.6
3,3910,70,BERGEN    ,PALISADES PARK,LINDBERGH                ,Math,541,745.8,6.6,16.2,33.6,37.4,6.4,43.6
3,3930,60,BERGEN    ,PARAMUS,WEST BROOK MIDDLE        ,ELA,533,764.2,2.2,10,22,46.2,20,66
3,3930,60,BERGEN    ,PARAMUS,WEST BROOK MIDDLE        ,Math,483,747.5,4.5,15,33.8,43.5,3.2,46.8
3,3930,65,BERGEN    ,PARAMUS,EAST BROOK MIDDLE        ,ELA,529,760,4.5,8,25,45.8,16.5,62.8
3,3930,65,BERGEN    ,PARAMUS,EAST BROOK MIDDLE        ,Math,487,751.2,3,14,28.5,46,8,54
3,3940,50,BERGEN    ,PARK RIDGE,PARK RIDGE HIGH          ,ELA,284,759.2,7,13.6,17.8,40,21.6,61.6
3,3940,50,BERGEN    ,PARK RIDGE,PARK RIDGE HIGH          ,Math,70,754,3,14,20,57,6,63
3,4310,55,BERGEN    ,RAMSEY,ERIC S SMITH             ,ELA,640,768,2.7,6.3,18,49.3,24,73.3
3,4310,55,BERGEN    ,RAMSEY,ERIC S SMITH             ,Math,543,748.7,4.7,13.7,30.3,47.7,4,51.3
3,4370,100,BERGEN    ,RIDGEFIELD,SLOCUM/SKEWES SCHOOL     ,ELA,615,756.7,4.7,13.5,24,45.3,12.8,58.2
3,4370,100,BERGEN    ,RIDGEFIELD,SLOCUM/SKEWES SCHOOL     ,Math,594,751.7,3.7,12.8,31.2,46.5,5.7,52.3
3,4380,50,BERGEN    ,RIDGEFIELD PARK,RIDGEFIELD PARK JR SR HS ,ELA,861,748.6,9.6,15.2,23.8,37.6,14,51.4
3,4380,50,BERGEN    ,RIDGEFIELD PARK,RIDGEFIELD PARK JR SR HS ,Math,250,736.5,6.5,22,43,27.5,1.5,29
3,4390,60,BERGEN    ,RIDGEWOOD VILLAGE,BENJAMIN FRANKLIN MIDDLE ,ELA,552,775.7,1.3,5.7,13.7,45.7,34.7,79.7
3,4390,60,BERGEN    ,RIDGEWOOD VILLAGE,BENJAMIN FRANKLIN MIDDLE ,Math,341,755.5,1.5,7.5,30.5,55.5,5.5,60.5
3,4390,70,BERGEN    ,RIDGEWOOD VILLAGE,GEORGE WASHINGTON MIDDLE ,ELA,492,778,2.3,3.3,11.3,42.7,40,83
3,4390,70,BERGEN    ,RIDGEWOOD VILLAGE,GEORGE WASHINGTON MIDDLE ,Math,339,747.7,8.3,13.3,21.3,46.3,10.7,56.7
3,4405,60,BERGEN    ,RIVER DELL REGIONAL SCHOO,RIVER DELL MID RIVR EDGE ,ELA,296,764,3,12,19,47,19,66
3,4405,60,BERGEN    ,RIVER DELL REGIONAL SCHOO,RIVER DELL MID RIVR EDGE ,Math,231,755,3,10,26,59,2,61
3,4430,50,BERGEN    ,RIVER VALE TWP,HOLDRUM                  ,ELA,422,767.3,2.3,6.7,16.7,52.7,22,74.7
3,4430,50,BERGEN    ,RIVER VALE TWP,HOLDRUM                  ,Math,377,750.3,3.7,12.3,32,46,5.7,52
3,4470,50,BERGEN    ,ROCHELLE PARK TWP,MIDLAND #1               ,ELA,272,755.7,6.5,7.3,26.5,49.3,10.3,59.8
3,4470,50,BERGEN    ,ROCHELLE PARK TWP,MIDLAND #1               ,Math,270,747.5,3,19.2,30.7,41.5,5.7,47.2
3,4600,80,BERGEN    ,RUTHERFORD,PIERREPONT               ,ELA,436,768.6,3.2,5,16.8,49.4,25.8,74.8
3,4600,80,BERGEN    ,RUTHERFORD,PIERREPONT               ,Math,409,747.2,6.4,16.2,29.4,41.6,6.6,48.4
